学生编号,性别,专业,每日学习时间,出勤率,作业成绩,期末成绩
S001,女,数据科学,3.5,92,85,88
S002,男,计算机,2.1,78,72,69
S003,女,数学,4.2,95,90,93
S004,男,数据科学,1.5,65,58,55
S005,女,计算机,3.0,88,80,82
S006,男,数学,5.0,97,94,96
S007,女,数据科学,2.8,90,84,86
S008,男,计算机,0.8,60,52,48
S009,女,数学,4.5,93,91,92
S010,男,数据科学,6.0,98,96,95
S011,女,计算机,2.5,85,78,81
S012,男,数学,3.2,89,83,85
S013,女,数据科学,25,91,87,89
S014,男,计算机,1.2,68,60,57
S015,女,数学,4.0,96,92,94
S016,男,数据科学,2.4,72,66,63
S017,女,计算机,,87,75,79
S018,男,数学,3.7,94,88,90
S019,女,数据科学,2.9,91,86,87
S020,男,计算机,2.1,78,72,69
