id,name,food_origin,regional_cuisine,main_type,sub_type,flavor_tags,scene_tags,feature_tags,seasonal_terms,budget_level,cook_time_minutes,difficulty,ingredients,is_spicy,is_vegetarian,calorie_level,description
1,番茄牛腩饭,中式,中式家常,正餐,饭类,鲜香,双人晚餐,下饭|治愈|解馋,,中等预算,45,中等,牛腩|番茄|土豆|洋葱,0,0,中等,酸甜的番茄汤汁很下饭，适合认真做一顿舒服晚餐。
2,蒜香鸡胸沙拉,西式,西式轻食,轻食早午餐,沙拉碗类,蒜香|清淡,一个人吃|健身准备餐,高蛋白|清爽|快手,,中等预算,20,简单,鸡胸肉|生菜|玉米|小番茄,0,0,低,高蛋白又不厚重，适合忙碌工作日的轻负担晚餐。
3,麻婆豆腐,中式,川菜,正餐,菜肴类,香辣|重口|麻辣,一个人吃|双人晚餐,下饭|解馋|快手,,低预算,15,简单,豆腐|牛肉末|豆瓣酱|花椒,1,0,中等,做法快而且味道足，非常适合想吃点刺激口味的时候。
4,虾仁滑蛋,中式,中式家常,正餐,菜肴类,鲜香,一个人吃|双人晚餐,高蛋白|快手,,中等预算,15,简单,虾仁|鸡蛋|葱,0,0,低,口感嫩滑，速度快，适合时间紧但又想吃得好一点。
5,烤南瓜藜麦碗,西式,西式轻食,轻食早午餐,沙拉碗类,清淡|鲜香,一个人吃|健身准备餐,清爽|素食友好,,中等预算,30,简单,南瓜|藜麦|鹰嘴豆|菠菜,0,1,低,颜色明亮又有饱腹感，很适合想吃得轻盈一点的时候。
6,可乐鸡翅,中式,中式家常,正餐,菜肴类,酱香|鲜香,双人晚餐,解馋|分享|下饭,,中等预算,30,简单,鸡翅|可乐|生抽|姜,0,0,中等,甜咸口很稳，基本不会踩雷，适合照顾多数人口味。
7,酸汤肥牛,中式,川菜,正餐,锅汤类,香辣|鲜香|酸甜,双人晚餐|朋友聚餐,分享|解馋|暖胃|下饭,,高预算,25,中等,肥牛|金针菇|番茄|小米辣,1,0,高,酸辣开胃，聚餐氛围感很强，适合想吃得热闹一点。
8,香煎三文鱼配芦笋,西式,美式西餐,正餐,菜肴类,清淡|鲜香,双人晚餐|健身准备餐,高蛋白|清爽,,高预算,25,中等,三文鱼|芦笋|柠檬|黑胡椒,0,0,中等,蛋白质和质感都在线，适合想吃得精致一点。
9,香菇青菜面,中式,中式家常,正餐,面类,清淡|鲜香,一个人吃|夜宵,暖胃|快手|素食友好,,低预算,15,简单,挂面|香菇|青菜|酱油,0,1,低,暖乎乎的一碗面很适合晚上收尾，做起来也没有负担。
10,韩式辣炒年糕,韩式,韩式,正餐,饼类,香辣|重口,朋友聚餐|夜宵,解馋|分享|下饭,,低预算,20,简单,年糕|韩式辣酱|鱼饼|芝士,1,0,高,情绪价值很强，适合嘴馋或者想和朋友一起吃点热闹的。
11,菌菇豆乳锅,日式,日式,正餐,锅汤类,清淡|鲜香,双人晚餐,暖胃|素食友好,,中等预算,35,中等,豆乳|金针菇|香菇|白菜|豆腐,0,1,低,温和顺口，适合想吃暖一点又不太油的晚餐。
12,孜然牛肉土豆,中式,中式家常,正餐,菜肴类,重口|蒜香,双人晚餐|朋友聚餐,解馋|分享|下饭,,中等预算,30,中等,牛肉|土豆|洋葱|孜然,1,0,中等,香气很足，特别适合想吃一口就有满足感的家常热菜。
13,照烧鸡腿饭,日式,日式,正餐,饭类,酱香|鲜香,一个人吃|双人晚餐,下饭|治愈|解馋,,中等预算,30,简单,鸡腿|西兰花|米饭|照烧汁,0,0,中等,甜咸平衡又很稳妥，适合工作日想吃点治愈系主食的时候。
14,咖喱土豆牛肉,日式,日式,正餐,菜肴类,鲜香|重口,双人晚餐,下饭|治愈|解馋,,中等预算,50,中等,牛肉|土豆|胡萝卜|咖喱块,0,0,中等,酱汁浓郁又有饱腹感，很适合想认真吃顿饭的夜晚。
15,青柠虾仁意面,西式,美式西餐,正餐,面类,鲜香|清淡,双人晚餐|一个人吃,清爽|高蛋白|暖胃,,高预算,25,中等,虾仁|意面|青柠|蒜,0,0,中等,酸香清爽，适合夏天或者想吃轻快一点的时候。
16,牛油果鸡蛋吐司,西式,西式轻食,轻食早午餐,吐司卷饼类,清淡|奶香,一个人吃|下午茶,高蛋白|快手,,中等预算,10,简单,牛油果|鸡蛋|全麦吐司|黑胡椒,0,0,低,做法很快，早餐和轻下午茶都很合适。
17,泡菜肥牛乌冬面,韩式,韩式,正餐,面类,香辣|鲜香|酸甜,一个人吃|夜宵,暖胃|解馋|下饭,,中等预算,20,简单,泡菜|肥牛|乌冬面|洋葱,1,0,高,又辣又暖，特别适合晚上想吃点热乎又有满足感的东西。
18,芝士焗土豆泥,西式,美式西餐,正餐,菜肴类,奶香|鲜香,双人晚餐|朋友聚餐,分享|治愈|素食友好,,中等预算,35,简单,土豆|芝士|牛奶|黑胡椒,0,1,中等,奶香浓郁又很有安慰感，适合作为共享热食。
19,香煎豆腐蘑菇饭,西式,西式轻食,轻食早午餐,轻主食类,鲜香|清淡,一个人吃|健身准备餐,素食友好|清爽|省钱,,低预算,20,简单,豆腐|蘑菇|糙米饭|酱油,0,1,低,素但不寡淡，适合预算友好又想吃得利落的时候。
20,冬阴功海鲜汤,东南亚,泰式,正餐,锅汤类,酸甜|鲜香,双人晚餐|朋友聚餐,暖胃|分享,,高预算,35,中等,虾|鱿鱼|蘑菇|椰浆,1,0,低,酸辣开胃又有热带风味，适合想吃点不一样的晚餐。
21,黑椒牛柳饭,中式,港式,正餐,饭类,重口|酱香,一个人吃|双人晚餐,下饭|快手|解馋,,中等预算,25,简单,牛柳|彩椒|洋葱|黑椒汁,0,0,中等,下饭能力很强，是那种很少会出错的稳妥选择。
22,抹茶红豆千层蛋糕,西式,西式甜点,甜品,蛋糕类,酸甜|奶香,下午茶|朋友聚餐,分享|素食友好,,高预算,60,困难,抹茶粉|淡奶油|红豆|鸡蛋,0,1,高,细腻又有层次感，适合把下午茶做得更有仪式感。
23,焦糖布丁,西式,西式甜点,甜品,布丁冻品类,酸甜|奶香,下午茶|一个人吃,治愈|素食友好,,低预算,25,简单,牛奶|鸡蛋|砂糖|香草精,0,1,中等,柔软顺口，适合想吃甜但又不想太复杂的时候。
24,草莓酸奶杯,西式,西式甜点,甜品,蛋糕类,酸甜|清淡,下午茶|一个人吃,清爽|素食友好,,低预算,10,简单,草莓|酸奶|燕麦|蜂蜜,0,1,低,颜色讨喜而且轻盈，下午嘴馋时很合适。
25,提拉米苏杯,西式,西式甜点,甜品,蛋糕类,奶香|酸甜,下午茶|双人晚餐,分享|素食友好,,中等预算,30,中等,马斯卡彭|手指饼干|可可粉|咖啡液,0,1,高,咖啡香和奶香都很明显，适合有一点精致感的甜点时刻。
26,巴斯克芝士蛋糕,西式,西式甜点,甜品,蛋糕类,奶香|酸甜,下午茶|朋友聚餐,分享|治愈|素食友好,,中等预算,50,中等,奶油奶酪|淡奶油|鸡蛋|砂糖,0,1,高,外焦里软的口感很讨喜，是比较稳的聚会甜点。
27,肉桂苹果派,西式,西式甜点,甜品,烘焙点心类,酸甜,下午茶|双人晚餐,分享|素食友好,,中等预算,55,中等,苹果|黄油|低筋面粉|肉桂粉,0,1,高,果香和黄油香很协调，适合天凉的时候配茶吃。
28,杨枝甘露,中式,港式,甜品,中式甜品类,酸甜,下午茶|一个人吃,清爽|素食友好,,中等预算,20,简单,芒果|西柚|椰浆|西米,0,1,中等,清爽中带一点甜，是很适合夏天的轻甜品。
29,芋泥麻薯盒子,西式,西式甜点,甜品,蛋糕类,奶香|酸甜,下午茶|夜宵,治愈|解馋|分享|素食友好,,中等预算,35,中等,芋头|麻薯|牛奶|淡奶油,0,1,高,绵密和拉丝感都很强，适合解馋和分享。
30,可颂三明治拼盘,西式,美式西餐,正餐,饼类,奶香|鲜香,下午茶|朋友聚餐,分享,,高预算,20,简单,可颂|火腿|芝士|生菜,0,0,中等,既能当轻正餐，也很适合下午茶时段一起分着吃。
31,伯爵红茶司康,西式,西式甜点,甜品,烘焙点心类,奶香|酸甜,下午茶|一个人吃,素食友好,,低预算,35,简单,低筋面粉|黄油|伯爵茶|牛奶,0,1,中等,适合配茶配咖啡，属于安静但很耐吃的小点心。
32,巧克力熔岩蛋糕,西式,西式甜点,甜品,蛋糕类,酸甜|奶香,下午茶|双人晚餐,治愈|解馋|素食友好,,中等预算,20,中等,黑巧克力|黄油|鸡蛋|低筋面粉,0,1,高,切开会流心，特别适合需要一点快乐奖励的时候。
33,椰香芒果糯米饭,东南亚,南洋风味,甜品,中式甜品类,酸甜,下午茶|一个人吃,素食友好,,中等预算,25,简单,芒果|糯米|椰浆|砂糖,0,1,中等,软糯和果香结合得很舒服，比较适合慢慢吃。
34,烤布蕾法式吐司,西式,西式轻食,轻食早午餐,吐司卷饼类,奶香|酸甜,下午茶|双人晚餐,治愈|快手|素食友好,,中等预算,20,简单,吐司|鸡蛋|牛奶|砂糖,0,1,中等,甜度温和，做法也不复杂，适合懒一点的周末。
35,豆乳盒子蛋糕,西式,西式甜点,甜品,蛋糕类,奶香|酸甜,下午茶|一个人吃,治愈|素食友好,,中等预算,30,简单,豆乳|奶油|蛋糕胚|黄豆粉,0,1,中等,豆乳香气很柔和，适合不想吃太厚重奶油的人。
36,黑糖珍珠奶冻,西式,西式甜点,甜品,布丁冻品类,奶香,下午茶|夜宵,解馋|分享|素食友好,,低预算,20,简单,牛奶|吉利丁|黑糖|珍珠,0,1,中等,口感软弹，做成冰凉版很适合下午和夜晚。
37,宫保鸡丁盖饭,中式,川菜,正餐,饭类,香辣|酱香,一个人吃|双人晚餐,下饭|解馋|快手,,中等预算,25,简单,鸡胸肉|花生|黄瓜|干辣椒,1,0,中等,酸甜辣兼具的经典下饭菜，适合工作日快速满足一顿。
